#time,accel_x,accel_y,accel_z
824.748391,76.570323,2507.678085,-8920.442653
824.750942,10911.271056,287.138712,-8193.024582
824.753492,5800.201982,-4000.799387,-7982.456194
824.756042,-1186.840010,3120.240670,-8212.167163
824.758592,-2143.969050,-363.709035,-9667.003304
824.761142,-1780.260014,-3215.953574,-9724.431046
824.763692,-5666.203917,4613.361973,-8116.454259
824.766243,7369.893608,-344.566454,-7925.028451
824.768793,9284.151688,-3771.088418,-8346.165229
824.771343,-2986.242605,861.416136,-8403.592971
824.773893,2086.541307,3120.240670,-9303.294269
824.776443,133.998066,-1378.265818,-9762.716208
824.778993,-7580.461997,3024.527766,-8652.446522
824.781544,1550.549045,-1569.691626,-8518.448456
824.784094,7944.171032,-4173.082614,-9552.147819
824.786644,-5130.211654,2737.389054,-8346.165229
824.789194,-8154.739421,5723.631659,-10011.569758
824.791744,-3751.945837,-1263.410333,-10049.854920
824.794307,-363.709035,-2469.392923,-7216.752962
824.796869,8078.169098,3215.953574,-8805.587168
824.799431,5474.778109,1378.265818,-9265.009107
824.801993,-2679.961312,-2928.814862,-7657.032320
824.804556,3349.951640,-516.849682,-8805.587168
824.807118,4134.797453,344.566454,-9954.142016
824.809680,-727.418070,-1205.982590,-8307.880067
824.812243,-7389.036189,4326.223261,-8441.878133
824.814805,5359.922624,-2163.111630,-10145.567824
824.817367,2143.969050,-4230.510357,-8595.018779
824.819929,-4555.934230,3847.658741,-7982.456194
824.822492,6029.912952,2852.244539,-9858.429112
824.825054,-3043.670347,-4000.799387,-9150.153622
824.827616,-5627.918755,172.283227,-8633.303941
824.830179,7197.610381,765.703232,-9418.149754
824.832741,38.285162,-2239.681954,-8537.591037
824.835303,3120.240670,-2009.970984,-8250.452325
824.837865,-2431.107762,4441.078746,-8614.161360
824.840428,-4919.643266,1129.412267,-9724.431046
824.842990,-10107.282662,631.705166,-9035.298138
824.845552,-478.564520,3158.525832,-8824.729749
824.848114,10815.558152,-1646.261949,-8269.594906
824.850677,2775.674216,-1129.412267,-6814.758765
824.853239,-1512.263883,-306.281293,-8078.169098
824.855801,1359.123237,2507.678085,-9705.288466
824.858364,-1895.115499,2258.824534,-9035.298138
824.860926,-1033.699363,2967.100024,-8116.454259
824.863488,3062.812928,-1263.410333,-8116.454259
824.866050,4287.938099,-2641.676150,-8307.880067
824.868613,-708.275490,2622.533570,-8729.016845
824.871175,-1550.549045,5168.496816,-9590.432981
824.873737,-3158.525832,-1052.841944,-8977.870395
824.876300,-3081.955509,-803.988394,-8059.026517
824.878862,7293.323285,3043.670347,-9035.298138
824.881424,4919.643266,-57.427742,-8001.598774
824.883986,8250.452325,-727.418070,-7944.171032
824.886549,-6604.190376,3560.520029,-8633.303941
824.889111,-5493.920690,-995.414202,-8863.014910
824.891673,-918.843878,-5647.061336,-9322.436850
824.894236,-1014.556782,6585.047795,-8575.876198
824.896807,1569.691626,1856.830338,-8154.739421
824.899378,-1512.263883,-2603.390989,-9073.583299
824.901950,-2794.816797,497.707101,-8882.157491
824.904521,1282.552914,2163.111630,-8441.878133
824.907093,-4211.367776,-765.703232,-9437.292334
824.909664,-5723.631659,1397.408398,-8958.727814
824.912235,-1780.260014,4211.367776,-8901.300072
824.914807,2967.100024,-3292.523898,-9284.151688
824.917378,-3120.240670,555.134843,-7944.171032
824.919950,612.562586,2526.820666,-8824.729749
824.922521,-2431.107762,114.855485,-9035.298138
824.925093,-1378.265818,1473.978722,-9437.292334
824.927664,-3273.381317,2297.109696,-9245.866526
824.930235,4479.363907,765.703232,-8346.165229
824.932807,4096.512291,-2354.537438,-8786.444587
824.935378,-4307.080680,4747.360038,-7886.743290
824.937950,2067.398726,1646.261949,-9705.288466
824.940521,803.988394,-3311.666478,-9915.856854
824.943093,-2239.681954,3981.656806,-8039.883936
824.945664,3924.229064,3311.666478,-7408.178770
824.948235,8843.872330,-1397.408398,-8327.022648
824.950807,-2277.967115,210.568389,-9035.298138
824.953378,95.712904,4383.651003,-9131.011042
824.955950,2450.250342,-861.416136,-8652.446522
824.958521,-114.855485,-593.420005,-8039.883936
824.961092,3847.658741,3885.943902,-7791.030386
824.963664,8403.592971,-650.847747,-9399.007173
824.966235,-7427.321350,-3215.953574,-9360.722011
824.968807,-2354.537438,3866.801322,-8939.585234
824.971378,8537.591037,2699.103893,-8193.024582
824.973950,1722.832272,1818.545176,-8327.022648
824.976521,-2182.254211,5953.342629,-8786.444587
824.979099,5704.489078,-4000.799387,-8461.020714
824.981678,3407.379382,-3617.947771,-8977.870395
824.984257,-2756.531635,1091.127106,-9341.579430
824.986835,2565.105827,3962.514226,-8652.446522
824.989414,1895.115499,-1627.119368,-8537.591037
824.991992,-2775.674216,2182.254211,-8518.448456
824.994571,6336.194245,2545.963246,-8422.735552
824.997149,4192.225195,-2239.681954,-8824.729749
824.999728,516.849682,574.277424,-8250.452325
825.002306,1952.543242,4747.360038,-8097.311678
825.004885,1110.269686,-459.421939,-9590.432981
825.007463,-3809.373579,899.701298,-8499.305875
825.010042,3369.094221,2813.959378,-8939.585234
825.012620,-976.271621,-2258.824534,-8384.450390
825.015199,823.130974,440.279358,-7810.172966
825.017778,-765.703232,3713.660675,-8518.448456
825.020356,95.712904,-1014.556782,-9456.434915
825.022935,229.710970,-3388.236802,-9609.575562
825.025513,-3732.803256,4594.219392,-7944.171032
825.028092,3905.086483,3062.812928,-8001.598774
825.030670,-1684.547110,-4000.799387,-9475.577496
825.033249,-7044.469734,-3369.094221,-10126.425243
825.035827,-7216.752962,2335.394858,-9150.153622
825.038406,3235.096155,3024.527766,-7963.313613
825.040984,-363.709035,-2603.390989,-8020.741355
825.043563,19.142581,555.134843,-9169.296203
825.046141,3158.525832,-1435.693560,-9533.005238
825.048720,-5149.354235,1205.982590,-8384.450390
825.051299,-708.275490,2565.105827,-7274.180704
825.053877,11026.126541,-4230.510357,-8461.020714
825.056456,2871.387120,-2105.683888,-7733.602643
825.059034,-1397.408398,-1359.123237,-8307.880067
825.061613,2431.107762,1588.834206,-8729.016845
825.064191,-4689.932296,1339.980656,-8135.596840
825.066770,-4039.084549,2469.392923,-8824.729749
825.069348,3522.234867,-153.140646,-9188.438784
825.071927,-1129.412267,-1512.263883,-7925.028451
825.074505,-3905.086483,3369.094221,-8499.305875
825.077084,-861.416136,4153.940034,-9303.294269
825.079662,631.705166,-1588.834206,-9016.155557
825.082193,-3196.810994,-1091.127106,-8461.020714
825.084724,-2526.820666,957.129040,-8269.594906
825.087255,9265.009107,746.560651,-8652.446522
825.089786,-746.560651,-899.701298,-8441.878133
825.092317,-6642.475538,2775.674216,-8997.012976
825.094847,3522.234867,382.851616,-8843.872330
825.097378,-8939.585234,-421.136778,-8480.163294
825.099909,1780.260014,6106.483275,-9379.864592
825.102440,11179.267187,-1741.974853,-8327.022648
825.104971,9839.286531,-5225.924558,-7791.030386
825.107502,-3541.377448,612.562586,-8441.878133
825.110032,-4096.512291,3541.377448,-9667.003304
825.112563,-746.560651,-1531.406464,-10260.423309
825.115094,-2143.969050,1837.687757,-8901.300072
825.117625,6604.190376,-803.988394,-7848.458128
825.120156,1301.695494,-2105.683888,-8614.161360
825.122687,-6259.623922,2411.965181,-9245.866526
825.125217,3675.375514,2411.965181,-9475.577496
825.127748,-248.853550,-1875.972918,-9265.009107
825.130279,-2775.674216,-1320.838075,-8480.163294
825.132810,1033.699363,3617.947771,-7771.887805
